"영업일자","역사","승차권 종류","판암역 출발","신흥역 출발","대동역 출발","대전역 출발","중앙로역 출발","중구청역 출발","서대전네거리역 출발","오룡역 출발","용문역 출발","탄방역 출발","시청역 출발","정부청사역 출발","갈마역 출발","월평역 출발","갑천역 출발","유성온천역 출발","구암역 출발","현충원역 출발","월드컵경기장역 출발","노은역 출발","지족역 출발","반석역 출발"
"2024-01-01","중앙로역","교통카드_청소년","880","880","880","880","880","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","중구청역","교통카드_청소년","880","880","880","880","880","880","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","서대전네거리역","교통카드_청소년","880","880","880","880","880","880","880","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","오룡역","교통카드_청소년","880","880","880","880","880","880","880","880","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","용문역","교통카드_청소년","880","880","880","880","880","880","880","880","880","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","탄방역","교통카드_청소년","880","880","880","880","880","880","880","880","880","880","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","시청역","교통카드_청소년","880","880","880","880","880","880","880","880","880","880","880","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","정부청사역","교통카드_청소년","960","880","880","880","880","880","880","880","880","880","880","880","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","갈마역","교통카드_청소년","960","960","880","880","880","880","880","880","880","880","880","880","880","0","0","0","0","0","0","0","0","0"
"2024-01-01","월평역","교통카드_청소년","960","960","960","880","880","880","880","880","880","880","880","880","880","880","0","0","0","0","0","0","0","0"
"2024-01-01","갑천역","교통카드_청소년","960","960","960","960","880","880","880","880","880","880","880","880","880","880","880","0","0","0","0","0","0","0"
"2024-01-01","유성온천역","교통카드_청소년","960","960","960","960","960","880","880","880","880","880","880","880","880","880","880","880","0","0","0","0","0","0"
"2024-01-01","구암역","교통카드_청소년","960","960","960","960","960","960","960","880","880","880","880","880","880","880","880","880","880","0","0","0","0","0"
"2024-01-01","현충원역","교통카드_청소년","960","960","960","960","960","960","960","960","880","880","880","880","880","880","880","880","880","880","0","0","0","0"
"2024-01-01","월드컵경기장역","교통카드_청소년","960","960","960","960","960","960","960","960","880","880","880","880","880","880","880","880","880","880","880","0","0","0"
"2024-01-01","노은역","교통카드_청소년","960","960","960","960","960","960","960","960","960","880","880","880","880","880","880","880","880","880","880","880","0","0"
"2024-01-01","지족역","교통카드_청소년","960","960","960","960","960","960","960","960","960","960","880","880","880","880","880","880","880","880","880","880","880","0"
"2024-01-01","반석역","교통카드_청소년","960","960","960","960","960","960","960","960","960","960","960","880","880","880","880","880","880","880","880","880","880","880"
"2024-01-01","판암역","교통카드_어린이","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","신흥역","교통카드_어린이","550","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","대동역","교통카드_어린이","550","550","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","대전역","교통카드_어린이","550","550","550","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","중앙로역","교통카드_어린이","550","550","550","550","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","중구청역","교통카드_어린이","550","550","550","550","550","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","서대전네거리역","교통카드_어린이","550","550","550","550","550","550","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","오룡역","교통카드_어린이","550","550","550","550","550","550","550","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","용문역","교통카드_어린이","550","550","550","550","550","550","550","550","550","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","탄방역","교통카드_어린이","550","550","550","550","550","550","550","550","550","550","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","시청역","교통카드_어린이","550","550","550","550","550","550","550","550","550","550","550","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","정부청사역","교통카드_어린이","600","550","550","550","550","550","550","550","550","550","550","550","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","갈마역","교통카드_어린이","600","600","550","550","550","550","550","550","550","550","550","550","550","0","0","0","0","0","0","0","0","0"
"2024-01-01","월평역","교통카드_어린이","600","600","600","550","550","550","550","550","550","550","550","550","550","550","0","0","0","0","0","0","0","0"
"2024-01-01","갑천역","교통카드_어린이","600","600","600","600","550","550","550","550","550","550","550","550","550","550","550","0","0","0","0","0","0","0"
"2024-01-01","유성온천역","교통카드_어린이","600","600","600","600","600","550","550","550","550","550","550","550","550","550","550","550","0","0","0","0","0","0"
"2024-01-01","구암역","교통카드_어린이","600","600","600","600","600","600","600","550","550","550","550","550","550","550","550","550","550","0","0","0","0","0"
"2024-01-01","현충원역","교통카드_어린이","600","600","600","600","600","600","600","600","550","550","550","550","550","550","550","550","550","550","0","0","0","0"
"2024-01-01","월드컵경기장역","교통카드_어린이","600","600","600","600","600","600","600","600","550","550","550","550","550","550","550","550","550","550","550","0","0","0"
"2024-01-01","노은역","교통카드_어린이","600","600","600","600","600","600","600","600","600","550","550","550","550","550","550","550","550","550","550","550","0","0"
"2024-01-01","지족역","교통카드_어린이","600","600","600","600","600","600","600","600","600","600","550","550","550","550","550","550","550","550","550","550","550","0"
"2024-01-01","반석역","교통카드_어린이","600","600","600","600","600","600","600","600","600","600","600","550","550","550","550","550","550","550","550","550","550","550"
"2024-01-01","판암역","어른(청소년포함)","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","신흥역","어른(청소년포함)","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","대동역","어른(청소년포함)","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","대전역","어른(청소년포함)","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","중앙로역","어른(청소년포함)","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","중구청역","어른(청소년포함)","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","서대전네거리역","어른(청소년포함)","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","오룡역","어른(청소년포함)","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","용문역","어른(청소년포함)","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","탄방역","어른(청소년포함)","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","시청역","어른(청소년포함)","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","정부청사역","어른(청소년포함)","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","갈마역","어른(청소년포함)","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0"
"2024-01-01","월평역","어른(청소년포함)","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0"
"2024-01-01","갑천역","어른(청소년포함)","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0"
"2024-01-01","유성온천역","어른(청소년포함)","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0"
"2024-01-01","구암역","어른(청소년포함)","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0"
"2024-01-01","현충원역","어른(청소년포함)","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0"
"2024-01-01","월드컵경기장역","어른(청소년포함)","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0"
"2024-01-01","노은역","어른(청소년포함)","1800","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0"
"2024-01-01","지족역","어른(청소년포함)","1800","1800","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0"
"2024-01-01","반석역","어른(청소년포함)","1800","1800","1800","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700"
"2024-01-01","판암역","어린이","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","신흥역","어린이","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","대동역","어린이","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","대전역","어린이","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","중앙로역","어린이","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","중구청역","어린이","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","서대전네거리역","어린이","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","오룡역","어린이","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","용문역","어린이","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","탄방역","어린이","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","시청역","어린이","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","정부청사역","어린이","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0","0"
"2024-01-01","갈마역","어린이","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0","0"
"2024-01-01","월평역","어린이","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0","0"
"2024-01-01","갑천역","어린이","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0","0"
"2024-01-01","유성온천역","어린이","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0","0"
"2024-01-01","구암역","어린이","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0","0"
"2024-01-01","현충원역","어린이","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0","0"
"2024-01-01","월드컵경기장역","어린이","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0","0"
"2024-01-01","노은역","어린이","1800","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0","0"
"2024-01-01","지족역","어린이","1800","1800","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","0"
"2024-01-01","반석역","어린이","1800","1800","1800","1800","1800","1800","1800","1800","1800","1800","1800","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700","1700"
